1;1;Donut chart;0
2;1;Stacked bar chart;1
3;1;Funnel chart;0
4;1;Grouped line chart;1
5;2;Any account created in the last 30 days;0
6;2;All recently accessed accounts;1
7;2;Accounts selected with the sync button;0
8;2;Accounts that the user owns;0
9;3;Upload AppExchange Packages;0
10;3;Create AppExchange Packages;0
11;3;Download AppExchange Packages;1
12;3;Manage Package Licenses;0
13;4;Enhanced page layout editor;1
14;4;Enhanced lists;1
15;4;Inline editing;1
16;4;Enhanced profile list views;0
17;5;Manage users within specified roles;1
18;5;Log in as a user who has granted login access;1
19;5;Reset passwords for all users;0
20;5;Manage specified custom objects;1
21;5;Create new user profiles;0
22;6;Revenue  ;1
23;6;Forecast;0
24;6;Production  ;0
25;6;Quantity  ;1
26;7;Use the campaign influences related list on the opportunity  ;1
27;7;Select the campaign record type when creating the opportunity  ;0
28;7;Select the primary campaign source for the opportunity  ;1
29;7;Use the campaign hierarchy related list on the opportunity;0
30;8;Create a sharing rule to grant access to members of the public group.  ;0
31;8;Manually share each account record with members of the public group.  ;0
32;8;Update the organization - wide defaults for accounts to private and create a sharing rule for the group.  ;1
33;8;Upgrade the role hierarchy and assign members of the group to a role at the top of the hierarchy.;0
34;9;Create a formula field to calculate the discounted amount.  ;1
35;9;Create an auto-number field to calculate the discounted amount.  ;0
36;9;Create a cross object formula field to calculate the discounted amount.  ;0
37;9;Create a roll-up summary field to calculate the discounted amount.;0
38;10;Enable Chatter for specific users  ;0
39;10;Enable customizable recent items  ;0
40;10;Enable enhanced list views  ;1
41;10;Enable hover details  ;1
42;10;Enable spell checker;1
43;11;Read for Accounts  ;0
44;11;View All for Opportunities  ;1
45;11;Read for Opportunities  ;0
46;11;View All Data;0
47;12;"Add Amy to the ""Sales East"" public group  ";0
48;12;Add Amy to Bob's default account team  ;1
49;12;"Create a sharing rule between the ""Sales West"" and ""Sales East"" public groups  ";0
50;12;Add Amy to the role above Bob in the role hierarchy;0
51;13;An existing custom object record  ;0
52;13;An existing opportunity record  ;1
53;13;An existing account record  ;1
54;13;An existing contact record;0
55;14;The user will be logged out and any unsaved work in progress will be saved  ;0
56;14;The user will be able to continue working and start new sessions  ;0
57;14;The user will be able to continue working, but will be unable to start any new sessions  ;0
58;14;The user will be logged out and any unsaved work in progress will be lost;1
59;15;Roll-up summary fields can be created for tasks  ;0
60;15;Record types can be created for tasks  ;1
61;15;Validation rules can be created for tasks  ;1
62;15;Recurring tasks can be assigned to more than one user;0
63;16;Status  ;1
64;16;Categories  ;0
65;16;Sharing Rules  ;1
66;16;Workflow Rules;1
67;17;Formula fields can reference themselves in the formula  ;0
68;17;Formula fields can reference fields on a child object  ;0
69;17;Formula fields are read-only on record detail pages  ;1
70;17;Formula fields can reference fields on a parent object;1
71;18;Public groups can be used when manually sharing a record  ;1
72;18;Public groups can be used in sharing rules  ;1
73;18;Public groups can be created by any user  ;0
74;18;Public groups allow users to delete personal accounts;0
75;19;Use a validation rule to prevent the software from access the services team's sales process  ;0
76;19;Create a record type for each sales process and assign it to the appropriate profiles  ;1
77;19;Create a separate lead process for the software sales team and service sales team  ;0
78;19;Create a unique list of opportunity stage picklist values for each sales process;1
79;20;Excel Connector  ;0
80;20;Import Wizard  ;0
81;20;Data Loader  ;1
82;20;Mass Delete;1
83;21;Change the login IP ranges  ;0
84;21;Unlock the user  ;0
85;21;View the login history  ;1
86;21;Reset the password;0
87;22;Profile  ;1
88;22;Field level security  ;0
89;22;Sharing  ;0
90;22;Page layout;0
91;23;Create a new profile for Retirement Sales team members and remove read access to High Wealth account records.  ;0
92;23;Set the organization-wide default sharing to private and create a sharing rule to share Retirement accounts with all Sales users  ;1
93;23;Create a new record type for high Wealth accounts and share the record type with High Wealth sales team members  ;0
94;23;Set the organization-wide default sharing to public read-only and create a sharing rule to limit access to High Wealth accounts;0
95;24;It must be enabled by an administrator  ;1
96;24;It is available to customer portal users  ;0
97;24;It is available to users without a mobile license  ;1
98;24;It is available to partner portal users;0
99;25;Import Wizard  ;1
100;25;Validation rules  ;0
101;25;Merge Leads Function  ;0
102;25;Data Loader;0
103;26;Create new records from a list view  ;1
104;26;Edit dependent picklists inline from a list view  ;0
105;26;Edit multiple records directly from a list view  ;1
106;26;Calculate the sum of a number field displayed in a list view;0
107;27;Build a lead source report to summarize the campaign metrics  ;0
108;27;Establish the campaign influence between related campaigns  ;0
109;27;Create a campaign hierarchy and include the related campaigns  ;1
110;27;Create a cross object formula field to calculate summary metrics;0
111;28;The object included in the report  ;1
112;28;The fields available to include in the report  ;1
113;28;Whether the report will be tabular, summary, or matrix  ;0
114;28;Whether the report can be displayed in a dashboard  ;0
115;28;The default columns in the report;1
116;29;Store Chatter posts in a Salesforce Content group  ;0
117;29;Link a Salesforce Content library to a Chatter profile  ;0
118;29;View a list of files shared with a Chatter group  ;1
119;29;Post files from a Salesforce Content library to a Chatter feed;1
120;30;Create a validation rule to prevent lead conversion  ;0
121;30;Create two separate lead process and record types  ;1
122;30;Use field-level security to restrict access to the lead status values  ;0
123;30;Create two separate page layouts;0
124;31;Create a cross-object formula field on the account  ;0
125;31;Create a roll up summary field on the opportunity  ;0
126;31;Create a cross-object formula field on the opportunity  ;1
127;31;Create an account workflow rule with an opportunity field update;0
128;32;Set the field to hidden on the user profile  ;0
129;32;Remove the field from reports and list views  ;0
130;32;Set the field to hidden using field level security  ;1
131;32;Remove the field from the page layout;0
132;33;List views can be filtered by tags  ;0
133;33;List views can be filtered using AND, OR and NOT filters  ;1
134;33;List views can be filtered by record owner profile  ;0
135;33;List views can be filtered by record ownership;1
136;34;Case Teams  ;1
137;34;Partner Roles  ;0
138;34;Sales Teams  ;0
139;34;Contact Roles;0
140;35;Sharing Rules  ;0
141;35;Source Report folder access  ;1
142;35;Dashboard folder access  ;1
143;35;Dashboard properties;0
144;36;Generates URLs for content files  ;1
145;36;Track how often content is viewed if downloaded  ;1
146;36;Publishes content from Salesforce to a company's website  ;0
147;36;Makes content available to recipients within and outside of Salesforce  ;1
148;36;Tracks which recipients have viewed and downloaded content;0
149;37;Set the field-level security for account number to visible and read only for the sales user profile  ;1
150;37;"Remove the ""Edit"" permission on the account object for the sales user profile  ";0
151;37;Set the account number field to read-only on the page layout assigned to the sales user profile  ;0
152;37;Set the organization-wide default settings for accounts to read only;0
153;38;Before Apex Triggers  ;0
154;38;After assignment rules  ;1
155;38;After validation rules  ;1
156;38;After escalation rules;0
157;39;Include attachments  ;1
158;39;Schedule a recurring export  ;1
159;39;Include the values for formula fields  ;0
160;39;Export a subset of records for a given object;0
161;40;Excel connector  ;0
162;40;Connect for Office  ;0
163;40;Import Wizard  ;1
164;40;Data Loader;0
165;41;Record types can be used to define picklist values available for a given field  ;1
166;41;The ability to create records of a specific record type is determined by the profile  ;1
167;41;Users cannot view records assigned to a record type their profile does not have access to  ;0
168;41;Record types can only be assigned to one profile at a time;0
169;42;The field values are archived in the setup audit trail  ;0
170;42;The field is removed from the associated workflow rules  ;0
171;42;The field history tracking data is deleted  ;1
172;42;The field is removed from the associated page layouts;1
173;43;The user must opt in to receive email alerts when an approval is requested  ;0
174;43;The user must have read permission for the object in the approval process  ;1
175;43;The user must be in the same role as the approval submitter in the role hierarchy  ;0
176;43;The user must be setup as a delegated approver;0
177;44;Create users in the organization and assign them a chatter free license  ;1
178;44;Assign Chatter Free licenses to users outside the specified email domains  ;0
179;44;Enable invites to allow users to invite others within specified email domains  ;1
180;44;Assign Chatter Free licenses to existing Salesforce users;0
181;45;Opportunity update reminders  ;1
182;45;Opportunity field history tracking  ;0
183;45;Opportunity Escalation Rules  ;0
184;45;Big deal alerts;1
185;46;Role hierarchy  ;0
186;46;Profile  ;1
187;46;Public Groups  ;0
188;46;Sharing Rules;0
189;47;Create a roll-up summary field  ;1
190;47;Create a new account record type  ;0
191;47;Create a lookup field from accounts to opportunities  ;0
192;47;Create a custom formula field;0
193;48;Lead;0
194;48;Account;1
195;48;Contact;1
196;48;Case;0
197;49;Partner Portal User;1
198;49;Queue;1
199;49;Case team;0
200;49;Contact;0
201;49;Internal Salesforce User;1
202;50;Ability to automatically assign a solution to all sub categories below the parent category  ;0
203;50;Ability to create solution category custom reports to find uncategorized solutions  ;1
204;50;Ability to control the visibility of specific solutions in the customer and self service portals  ;1
205;50;Ability to control the visibility of specific solutions in the Solutions and Cases tabs;0
206;51;Custom object tab names  ;0
207;51;Standard Field labels  ;0
208;51;Tab Colors and Fonts  ;1
209;51;Page Layouts;1
210;52;Validation rules;1
211;52;Escalation rules;0
212;52;Workflow rules;0
213;52;Auto-response rules;0
214;53;Select syncing direction and conflict behavior  ;1
215;53;Assign users to Outlook configuration  ;1
216;53;Specify a user's Outlook synchronization folders  ;0
217;53;Run a first time synchronization for each user;0
