1;Which type of chart can be used to display summary values from two different levels of grouping in a report?(Choose 2);1;2
2;Which accounts are automatically synchronized on Salesforce Classic Lite?;1;1
3;Which permission is required to install and uninstall packages from Salesforce AppExchange?;1;1
4;What user interface setting must be enabled for users to edit records in a list view? (Choose 2);1;2
5;Which task can a delegated administrator perform? (Choose 3);1;3
6;Which schedule type can be defined for a product? (Choose 2);1;2
7;How can a sales user relate an opportunity to a campaign? (Choose 2);1;2
8;Universal Containers set the Organization-Wide Defaults for accounts to public read/write. The sales management team is importing a new set of account records and needs to limit access to them. Access should be restricted to the account owner and members of a public group. How can this be accomplished?;1;1
9;Universal Containers is capturing a percentage discount directly on an opportunity record. Sales management needs to include the discounted opportunity amount in pipeline reports. How can the system administrator make the discounted amount available?;1;1
10;Which setting can a system administrator control in the Salesforce user interface? (Choose 3);1;3
11;Sales Managers need to view and report on sales revenue across an entire company without having access to a custom object that tracks personal time-off request. Which permission should a system administrator enable in a custom profile to meet this requirement in a private sharing model?;1;1
12;Universal Containers has set the organization-wide default settings for accounts to private. Amy and bob are on separate sales teams, but are assigned tot he same role in the hierarchy. Amy is a member of the “Sales West” public group and needs access to all accounts owned by Bob, a member of the “Sales East” group. How would an administrator grant Amy access to only Bob’s accounts?;1;1
13;Which record type can be updated when converting a lead? (Choose 2);1;2
14;A user profile has login hour restrictions set to Monday through Friday 8am to 5pm. The user logged in at 4:30 pm on a Tuesday and it is now 5:01 pm. Which behavior of the application should the user expect?;1;1
15;Which functionality is available when customizing tasks? (Choose 2);1;2
16;What can an administrator assign to both Ideas and Answers?;1;1
17;Which statement about formula fields is true? (Choose 2);1;2
18;Which statement about public groups is true? (Choose 2);1;2
19;Universal Technology sells software and consulting services. The software sales team uses a different set of sales stages than the consulting services team. How can a system administrator set up the process? (Choose 2);1;2
20;A system administrator at Universal containers incorrectly imported a set of records and needs to remove them from Salesforce. Which tool should the administrator use to complete the task? (Choose 2);1;2
21;A user receives an error message when attempting to login to Salesforce. What is the first step the Salesforce administrator should take to troubleshoot the problem?;1;1
22;What determines whether a user can create a new record using a specific record type?;1;1
23;Universal Finance has segmented its customer base into two categories: High Wealth and Retirement. High Wealth accounts should be visible to High Wealth Sales team members only. Retirement accounts should be visible to all sales users. How can a system administrator meet this requirement?;1;1
24;Which statement about Mobile Lite is true? (Choose 2);1;2
25;A marketing user has received a file of leads to import into Salesforce. What is the best way to avoid duplicating records?;1;1
26;Which functionality is available when enhanced lists are enabled? (Choose 2);1;2
27;A marketing manager needs to view summary metrics across a set of related campaigns. How can this be accomplished?;1;1
28;What does the report type determine when a new report is created? (Choose 3);1;3
29;Which is a capability of Chatter files? (Choose 2);1;2
30;Sales Representatives at Universal containers perform the initial steps in the lead qualification process and sales managers complete the final qualification steps. Universal Containers’ requirements are listed below. Sales managers can access all Lead status values. Sales Representatives cannot access the final two lead status values. How can a system administrator meet these requirements?;1;1
31;Universal Containers populates the industry field on each account record. The Vice president of sales would like the industry information on related opportunity records and updated when the value is updated on the account record. How can a system administrator meet his requirement?;1;1
32;How can a System Administrator restrict users from viewing certain fields in list views, searches and reports?;1;1
33;Which is available when creating list views? (Choose 2);1;2
34;Universal Containers outsources its first tier of customer support to a partner. What can be used to identify all individuals who contribute to resolving a case?;1;1
35;What should be used to control a user’s ability to view a dashboard? (Choose 2);1;2
36;What is a capability of the content delivery feature of Salesforce Content? (Choose 3);1;3
37;Universal Containers pushes an account number from an external accounting system into Salesforce. Sales users must be able to view the account number in Salesforce, but must not be able to modify it under any circumstances. How can a system administrator meet this requirement?;1;1
38;When are workflow rules evaluated based on the order of execution? (Choose 2);1;2
39;Which functionality is available when using the data export service? (Choose 2);1;2
40;Which tool can automatically prevent duplicate records?;1;1
41;Which statement about record types is true? (Choose 2);1;2
42;What automatically occurs when a custom field is deleted? (Choose 2);1;2
43;What is required to make a user an approver in the approval process?;1;1
44;How can a system administrator add users to a Salesforce organization using Chatter Free? (Choose 2);1;2
